file_name,read_group_id,library_selection,library_strand
6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam,07bd6e42-0d5f-4577-b213-70428352bc92,Poly-T Enrichment,
6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam,2f1521ba-6f63-4ea9-a338-6cab6d254a9b,Other,N/A
78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam,0b84b367-4f2e-4da4-9d45-f048898c26f3,Poly-T Enrichment,
78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam,a9f6fd50-6919-49f9-8192-d3198f05a9bf,Other,N/A
c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam,30ece0e5-99d4-40fa-9448-a79d4faccea7,Other,N/A
c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam,3bed2ad9-7c43-4e67-923a-601a95731be2,Poly-T Enrichment,
a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam,a202736e-f020-4c8c-8a53-41c6657bb7e0,Poly-T Enrichment,
a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam,d62a12f2-1ea6-4812-a479-21ef6a1f7ce8,Other,N/A
e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam,8427cae5-4395-40db-9ac0-c18738b92a99,Poly-T Enrichment,
e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam,cd321a2c-4ea6-4b58-b5ff-a73487d9501e,Other,N/A
ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam,9a8fe13e-cd11-427a-9ef9-ea9290f3c4c2,Poly-T Enrichment,
ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam,503507f6-b4df-4266-b941-658360f763a5,Other,N/A
de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam,62e39737-274b-4c05-8626-1afa7d4a0e53,Other,N/A
de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam,35917b87-2a52-43cd-bf3b-72ab45159531,Poly-T Enrichment,
2d31f70e-fce9-4350-9d7a-b60074fdfc89.rna_seq.genomic.gdc_realn.bam,07a7b41e-4808-46a3-8f59-3eec5f5087e8,Other,N/A
2d31f70e-fce9-4350-9d7a-b60074fdfc89.rna_seq.genomic.gdc_realn.bam,6edc2786-c5aa-431a-bb37-a2fdba48ba89,Poly-T Enrichment,
486e308d-b72a-4829-bb0e-d90357ad730f.rna_seq.genomic.gdc_realn.bam,9abe4c9c-9353-412f-9772-6eade161180a,Other,N/A
486e308d-b72a-4829-bb0e-d90357ad730f.rna_seq.genomic.gdc_realn.bam,8df1c0c5-76cb-4157-bb5b-32969507ccae,Poly-T Enrichment,
418c3b15-b7f6-4354-b044-7f9f645b56e8.rna_seq.genomic.gdc_realn.bam,93ae26a1-d539-4f5f-a243-3501969ce288,Other,N/A
418c3b15-b7f6-4354-b044-7f9f645b56e8.rna_seq.genomic.gdc_realn.bam,94dccdda-ae19-49ae-b379-90c86790a9fc,Poly-T Enrichment,
519b55aa-b645-4c22-be55-291dd7b54b2d.rna_seq.genomic.gdc_realn.bam,7dc03be3-f649-477d-91d0-607e0d21953d,Other,N/A
519b55aa-b645-4c22-be55-291dd7b54b2d.rna_seq.genomic.gdc_realn.bam,96ff6918-4094-4611-8f14-0d84106dae57,Poly-T Enrichment,
05790ad8-00da-4ef7-acd9-df61136b0a78.rna_seq.genomic.gdc_realn.bam,749cc39f-9a23-4fa2-8d5a-450a8ffa25d5,Other,N/A
05790ad8-00da-4ef7-acd9-df61136b0a78.rna_seq.genomic.gdc_realn.bam,af400841-cb8b-4e39-8503-ef9f6c3f8a20,Poly-T Enrichment,
7e053999-679e-48dc-b310-5507e8923b52.rna_seq.genomic.gdc_realn.bam,1e220991-faa3-430d-8ddd-b76b6c9077a1,Poly-T Enrichment,
7e053999-679e-48dc-b310-5507e8923b52.rna_seq.genomic.gdc_realn.bam,5e475961-aa60-4b2a-b121-49cdce068005,Other,N/A
6061385a-7897-48a9-8c4b-355cc3713400.rna_seq.genomic.gdc_realn.bam,114c2273-8e6d-44de-8a08-907a35fdfd99,Poly-T Enrichment,
6061385a-7897-48a9-8c4b-355cc3713400.rna_seq.genomic.gdc_realn.bam,e0b6bba7-a170-4752-888d-a8be711720e6,Other,N/A
63a3b63e-87a3-48fa-b9cc-44324331ab0b.rna_seq.genomic.gdc_realn.bam,87ac6d34-2d61-4fef-93b9-1b7c311662e3,Other,N/A
63a3b63e-87a3-48fa-b9cc-44324331ab0b.rna_seq.genomic.gdc_realn.bam,f39094b8-bfc1-4344-8ba9-2d7cd51f646b,Poly-T Enrichment,
39dbddd6-3355-47fc-8e0c-84b9de1cc28b.rna_seq.genomic.gdc_realn.bam,8a63f1aa-f03e-48d7-8acf-8c74dab1afb4,Poly-T Enrichment,
39dbddd6-3355-47fc-8e0c-84b9de1cc28b.rna_seq.genomic.gdc_realn.bam,51d22e38-d1dc-4e0c-80d3-b55a62175458,Other,N/A
17a78aac-5c3d-4c19-9c25-5ba6e6c33bc7.rna_seq.genomic.gdc_realn.bam,75426910-4133-44bd-a6bb-cc4731befcaf,Poly-T Enrichment,
cdf24d39-99e8-4ec1-900a-7fc0640e1eab.rna_seq.genomic.gdc_realn.bam,b676e490-68c2-49c4-84e6-ca84362085be,Other,N/A
cdf24d39-99e8-4ec1-900a-7fc0640e1eab.rna_seq.genomic.gdc_realn.bam,be0d17eb-e508-4608-bce8-7079b3cb70f2,Poly-T Enrichment,
35bee4ea-b6d1-456a-94d2-fbb8ee322078.rna_seq.genomic.gdc_realn.bam,3cb3db25-89df-4e9c-8b30-a6efdc7f6a5d,Other,N/A
