file_name,read_group_id,library_selection,library_strand,read_length
d4322d18-5cca-4934-8090-ffe533635078.rna_seq.genomic.gdc_realn.bam,17632008-83d2-4364-9358-697837e7482f,Other,N/A,103
f17ed345-3ff9-4c55-92b2-e99e05b953c5.rna_seq.genomic.gdc_realn.bam,bb1994f2-a72f-4f50-8efd-ef04ac2d216d,Poly-T Enrichment,,100
f17ed345-3ff9-4c55-92b2-e99e05b953c5.rna_seq.genomic.gdc_realn.bam,2f31eacc-8454-4d20-b6ce-dd1acfa8f68e,Other,N/A,100
9bb9d403-745f-4618-bf2e-129bdd6856f8.rna_seq.genomic.gdc_realn.bam,954a9030-cd7e-4307-bbe5-81592abc110d,Poly-T Enrichment,,101
9bb9d403-745f-4618-bf2e-129bdd6856f8.rna_seq.genomic.gdc_realn.bam,f9c71f2f-6d65-4851-8398-bbed0d2277bd,Other,N/A,101
dcc291dd-a7d6-4279-a653-aa0baf83e68f.rna_seq.genomic.gdc_realn.bam,88ed5546-6015-4292-a3f6-fcfa089d068b,Poly-T Enrichment,,101
dcc291dd-a7d6-4279-a653-aa0baf83e68f.rna_seq.genomic.gdc_realn.bam,cee6b859-d7ce-4c59-99f2-d84c14480b80,Other,N/A,101
520f9326-44f5-45b9-9624-4574416339ec.rna_seq.genomic.gdc_realn.bam,e5831caf-ee04-4a90-8868-b79434490b0c,Other,N/A,101
520f9326-44f5-45b9-9624-4574416339ec.rna_seq.genomic.gdc_realn.bam,e54f702e-e4d2-492f-9915-faaef414e3a9,Poly-T Enrichment,,101
e5b48e72-8cd6-40af-adf1-fc4993b220ae.rna_seq.genomic.gdc_realn.bam,19cec682-c51f-4ee4-8f00-f17eca191463,Poly-T Enrichment,,101
e5b48e72-8cd6-40af-adf1-fc4993b220ae.rna_seq.genomic.gdc_realn.bam,894654e6-85eb-41e7-9043-a6282c0f499f,Other,N/A,101
fb34f974-8d1d-4c0d-bba9-697c9bffc90f.rna_seq.genomic.gdc_realn.bam,a472243c-f1c6-46aa-81e7-17974a449ae6,Poly-T Enrichment,,101
fb34f974-8d1d-4c0d-bba9-697c9bffc90f.rna_seq.genomic.gdc_realn.bam,ad47d02d-fbb0-4602-99ad-d0291ba1729a,Other,N/A,101
e987c0b1-de3c-473d-b85a-fc41ac14507d.rna_seq.genomic.gdc_realn.bam,6638e13c-ebca-49d3-b48e-72b3659ad6bb,Other,N/A,100
e987c0b1-de3c-473d-b85a-fc41ac14507d.rna_seq.genomic.gdc_realn.bam,e03d2de4-a124-4df0-b0dd-43863ca43fb1,Poly-T Enrichment,,100
91370cc2-c4ad-41b2-b635-d1d1173da553.rna_seq.genomic.gdc_realn.bam,e59763d1-78ce-4555-99df-6f6bcdf42d89,Other,N/A,101
91370cc2-c4ad-41b2-b635-d1d1173da553.rna_seq.genomic.gdc_realn.bam,6af3b1d0-4ea6-4e83-917c-40d5fa395876,Poly-T Enrichment,,101
6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam,07bd6e42-0d5f-4577-b213-70428352bc92,Poly-T Enrichment,,101
6352c47e-dedb-481e-9188-662fe105c6ab.rna_seq.genomic.gdc_realn.bam,2f1521ba-6f63-4ea9-a338-6cab6d254a9b,Other,N/A,101
78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam,0b84b367-4f2e-4da4-9d45-f048898c26f3,Poly-T Enrichment,,101
78e39f82-75e8-40d3-9886-d9fe003852f6.rna_seq.genomic.gdc_realn.bam,a9f6fd50-6919-49f9-8192-d3198f05a9bf,Other,N/A,101
c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam,30ece0e5-99d4-40fa-9448-a79d4faccea7,Other,N/A,101
c30ce77c-ba93-4751-ba4e-ed2b6aee1576.rna_seq.genomic.gdc_realn.bam,3bed2ad9-7c43-4e67-923a-601a95731be2,Poly-T Enrichment,,101
a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam,a202736e-f020-4c8c-8a53-41c6657bb7e0,Poly-T Enrichment,,101
a1cff0f6-de98-496b-b7e5-ba65ffa0bf73.rna_seq.genomic.gdc_realn.bam,d62a12f2-1ea6-4812-a479-21ef6a1f7ce8,Other,N/A,101
e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam,8427cae5-4395-40db-9ac0-c18738b92a99,Poly-T Enrichment,,101
e53e9934-4397-499e-9249-ddf0fac62e29.rna_seq.genomic.gdc_realn.bam,cd321a2c-4ea6-4b58-b5ff-a73487d9501e,Other,N/A,101
ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam,9a8fe13e-cd11-427a-9ef9-ea9290f3c4c2,Poly-T Enrichment,,101
ce317194-953e-42f1-959e-98c0743bbe83.rna_seq.genomic.gdc_realn.bam,503507f6-b4df-4266-b941-658360f763a5,Other,N/A,101
de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam,62e39737-274b-4c05-8626-1afa7d4a0e53,Other,N/A,101
de300fb5-1cc2-48f4-8226-507b53271a3f.rna_seq.genomic.gdc_realn.bam,35917b87-2a52-43cd-bf3b-72ab45159531,Poly-T Enrichment,,101
2d31f70e-fce9-4350-9d7a-b60074fdfc89.rna_seq.genomic.gdc_realn.bam,07a7b41e-4808-46a3-8f59-3eec5f5087e8,Other,N/A,101
2d31f70e-fce9-4350-9d7a-b60074fdfc89.rna_seq.genomic.gdc_realn.bam,6edc2786-c5aa-431a-bb37-a2fdba48ba89,Poly-T Enrichment,,101
486e308d-b72a-4829-bb0e-d90357ad730f.rna_seq.genomic.gdc_realn.bam,9abe4c9c-9353-412f-9772-6eade161180a,Other,N/A,101
486e308d-b72a-4829-bb0e-d90357ad730f.rna_seq.genomic.gdc_realn.bam,8df1c0c5-76cb-4157-bb5b-32969507ccae,Poly-T Enrichment,,101
418c3b15-b7f6-4354-b044-7f9f645b56e8.rna_seq.genomic.gdc_realn.bam,93ae26a1-d539-4f5f-a243-3501969ce288,Other,N/A,101
418c3b15-b7f6-4354-b044-7f9f645b56e8.rna_seq.genomic.gdc_realn.bam,94dccdda-ae19-49ae-b379-90c86790a9fc,Poly-T Enrichment,,101
519b55aa-b645-4c22-be55-291dd7b54b2d.rna_seq.genomic.gdc_realn.bam,7dc03be3-f649-477d-91d0-607e0d21953d,Other,N/A,101
519b55aa-b645-4c22-be55-291dd7b54b2d.rna_seq.genomic.gdc_realn.bam,96ff6918-4094-4611-8f14-0d84106dae57,Poly-T Enrichment,,101
05790ad8-00da-4ef7-acd9-df61136b0a78.rna_seq.genomic.gdc_realn.bam,749cc39f-9a23-4fa2-8d5a-450a8ffa25d5,Other,N/A,101
05790ad8-00da-4ef7-acd9-df61136b0a78.rna_seq.genomic.gdc_realn.bam,af400841-cb8b-4e39-8503-ef9f6c3f8a20,Poly-T Enrichment,,101
7e053999-679e-48dc-b310-5507e8923b52.rna_seq.genomic.gdc_realn.bam,1e220991-faa3-430d-8ddd-b76b6c9077a1,Poly-T Enrichment,,101
7e053999-679e-48dc-b310-5507e8923b52.rna_seq.genomic.gdc_realn.bam,5e475961-aa60-4b2a-b121-49cdce068005,Other,N/A,101
6061385a-7897-48a9-8c4b-355cc3713400.rna_seq.genomic.gdc_realn.bam,114c2273-8e6d-44de-8a08-907a35fdfd99,Poly-T Enrichment,,101
6061385a-7897-48a9-8c4b-355cc3713400.rna_seq.genomic.gdc_realn.bam,e0b6bba7-a170-4752-888d-a8be711720e6,Other,N/A,101
63a3b63e-87a3-48fa-b9cc-44324331ab0b.rna_seq.genomic.gdc_realn.bam,87ac6d34-2d61-4fef-93b9-1b7c311662e3,Other,N/A,101
63a3b63e-87a3-48fa-b9cc-44324331ab0b.rna_seq.genomic.gdc_realn.bam,f39094b8-bfc1-4344-8ba9-2d7cd51f646b,Poly-T Enrichment,,101
39dbddd6-3355-47fc-8e0c-84b9de1cc28b.rna_seq.genomic.gdc_realn.bam,8a63f1aa-f03e-48d7-8acf-8c74dab1afb4,Poly-T Enrichment,,103
39dbddd6-3355-47fc-8e0c-84b9de1cc28b.rna_seq.genomic.gdc_realn.bam,51d22e38-d1dc-4e0c-80d3-b55a62175458,Other,N/A,103
17a78aac-5c3d-4c19-9c25-5ba6e6c33bc7.rna_seq.genomic.gdc_realn.bam,75426910-4133-44bd-a6bb-cc4731befcaf,Poly-T Enrichment,,101
6b8d2571-5d84-4921-921c-aeb33d3216c0.rna_seq.genomic.gdc_realn.bam,f4d2c87d-b1c1-472b-8e48-b7589dced0fd,,,75
a99f264b-a8a5-4b2f-9745-589fc4d9f3b0.rna_seq.genomic.gdc_realn.bam,442cea68-b6d6-48d0-b3cc-bf2515c570e9,,,75
62cc1f3d-f810-4cff-b36f-1dcbdd7f9ff7.rna_seq.genomic.gdc_realn.bam,f1ece073-48cf-4f2f-8243-eb92dd93d9cc,,,100
3b7cffd9-4736-4f42-bc8c-d5ac40e4852b.rna_seq.genomic.gdc_realn.bam,d9c0f078-6ff3-4535-88a0-7c2f91758e1e,,,100
03e5e15c-240d-43ae-b436-6d9f9892b277.rna_seq.genomic.gdc_realn.bam,a8e9e42e-2f57-4f41-aac7-b5b582e26d82,Other,,100
03e5e15c-240d-43ae-b436-6d9f9892b277.rna_seq.genomic.gdc_realn.bam,68c9c858-a3e7-4399-ae8f-9e837199e5e3,Other,,100
d835e7c2-b4a9-48ba-9bfc-9ca4c188bdeb.rna_seq.genomic.gdc_realn.bam,4284e0b5-adeb-4e5f-92ed-33d0db474410,,,100
206bb04e-ebb8-411e-8740-e1ab7edf98c2.rna_seq.genomic.gdc_realn.bam,c2747d52-c9a6-461e-8443-a4ed47205c07,,,100
cade3a69-f4ce-428b-a0af-1daf75323d3e.rna_seq.genomic.gdc_realn.bam,906229a4-c023-4740-97d8-1c92d1ce3bc5,,,100
553beb25-d7f7-460a-9f7b-c7ca92287376.rna_seq.genomic.gdc_realn.bam,8459c1ab-f900-4b45-9274-59971f6bae89,Other,,100
553beb25-d7f7-460a-9f7b-c7ca92287376.rna_seq.genomic.gdc_realn.bam,681afc6b-1af3-4e90-874c-fd4da8b34e9a,Other,,100
0365a396-0594-47eb-b838-2a1036146f2c.rna_seq.genomic.gdc_realn.bam,7e62e64f-5a3d-4c35-ae3d-c75c34419f38,,,75
ae70ae75-225d-4f5b-9053-716c93078457.rna_seq.genomic.gdc_realn.bam,9296d85c-27af-4b82-9c7a-fd287822178e,,,100
02cab00c-cc8d-4e3e-bbef-d4b822f459e5.rna_seq.genomic.gdc_realn.bam,9417842c-6549-48c1-b049-b5f2fb736ba3,,,100
9ef5e168-df8d-4592-8942-a5e5d9c16a0e.rna_seq.genomic.gdc_realn.bam,12a489f2-26ab-43d0-9ca4-84fd4c8db2f6,,,75
36822fe3-dc34-45f0-a5ca-39fdcf5d173d.rna_seq.genomic.gdc_realn.bam,4e6ba098-b62f-4e4b-838c-cc45ef19d24f,,,100
ebf9b177-dc9c-4730-9713-230115692ce1.rna_seq.genomic.gdc_realn.bam,0475dd87-3925-49fd-a71f-3784cb03f6e1,,,100
1d621a0b-4c8e-4351-9003-fb6a75f70147.rna_seq.genomic.gdc_realn.bam,53082d7d-95b8-435a-a8f1-68d0a6e00a13,,,100
14b6dc9a-3716-4621-b73c-6a6af727a00a.rna_seq.genomic.gdc_realn.bam,cd6ae47b-7d49-40a3-ad82-f5799808aa42,Other,,100
14b6dc9a-3716-4621-b73c-6a6af727a00a.rna_seq.genomic.gdc_realn.bam,94d44039-0555-4300-9243-b4e79dfea669,Other,,100
3eb5dcb3-f419-4ff6-8bc6-552875463937.rna_seq.genomic.gdc_realn.bam,e87c28ca-2103-419e-9658-13cb8178ae9b,Other,,0
d1adef1d-b7a1-445e-afbe-6ea72416154c.rna_seq.genomic.gdc_realn.bam,55a277a5-74da-4b82-8e87-2ef7fee3940e,Other,,0
c5554cac-d129-49e1-b928-bd7f92aee56c.rna_seq.genomic.gdc_realn.bam,836db9e3-f6b1-4b91-a38d-c4f6e96edb71,Other,,0
c2a9b7d2-1b80-43f9-9a5b-cd4885da8872.rna_seq.genomic.gdc_realn.bam,52d40ba9-8dae-4948-b9a9-4f4a3557aeb3,Other,,0
cdf24d39-99e8-4ec1-900a-7fc0640e1eab.rna_seq.genomic.gdc_realn.bam,b676e490-68c2-49c4-84e6-ca84362085be,Other,N/A,101
cdf24d39-99e8-4ec1-900a-7fc0640e1eab.rna_seq.genomic.gdc_realn.bam,be0d17eb-e508-4608-bce8-7079b3cb70f2,Poly-T Enrichment,,101
35bee4ea-b6d1-456a-94d2-fbb8ee322078.rna_seq.genomic.gdc_realn.bam,3cb3db25-89df-4e9c-8b30-a6efdc7f6a5d,Other,N/A,101
35bee4ea-b6d1-456a-94d2-fbb8ee322078.rna_seq.genomic.gdc_realn.bam,fd724757-7108-4c06-9aad-4676e8cd7155,Poly-T Enrichment,,101
344bf22c-3371-450e-80bf-868b71951105.rna_seq.genomic.gdc_realn.bam,1c4569c3-32d2-4723-98ea-b1dc8502f6b7,Other,N/A,101
344bf22c-3371-450e-80bf-868b71951105.rna_seq.genomic.gdc_realn.bam,3779952b-c260-48c4-a54c-ce04a8378722,Poly-T Enrichment,,101
b7aa4c05-568f-4747-9ea3-c9fa4cdbeea9.rna_seq.genomic.gdc_realn.bam,ee6b621d-d920-479f-9bdc-4bbf727ffd3e,Poly-T Enrichment,,103
b7aa4c05-568f-4747-9ea3-c9fa4cdbeea9.rna_seq.genomic.gdc_realn.bam,2718a709-7434-42e6-bebf-4a59af90c5e0,Other,N/A,103
b74e798d-b02a-44e3-a562-965a01ce2034.rna_seq.genomic.gdc_realn.bam,b1a018c3-37cd-4171-b1b4-d03b7bb2a51f,Poly-T Enrichment,,101
b74e798d-b02a-44e3-a562-965a01ce2034.rna_seq.genomic.gdc_realn.bam,a49c4cb7-bc20-44d2-a9da-39d45c90f0a2,Other,N/A,101
721d4acc-6344-4956-b181-f2352bee2e0e.rna_seq.genomic.gdc_realn.bam,d72430b1-9b92-43bd-8af1-5278c15310e0,Poly-T Enrichment,,101
721d4acc-6344-4956-b181-f2352bee2e0e.rna_seq.genomic.gdc_realn.bam,e0495aeb-37c0-4bc0-af78-5881bb171de7,Other,N/A,101
653be795-af40-43b5-874f-c57f472381cc.rna_seq.genomic.gdc_realn.bam,12fbf0af-e6c0-410d-a027-7da44c95e9be,Poly-T Enrichment,,101
653be795-af40-43b5-874f-c57f472381cc.rna_seq.genomic.gdc_realn.bam,5bd7a312-8b2e-43fc-81c3-df9c3b68aa59,Other,N/A,101
1810c35f-a1be-42da-8cc3-17624d32e9f6.rna_seq.genomic.gdc_realn.bam,6daab683-5a04-473f-b43b-19aef2f10741,Poly-T Enrichment,,101
1810c35f-a1be-42da-8cc3-17624d32e9f6.rna_seq.genomic.gdc_realn.bam,a6d16e52-d522-4b71-9806-fd7de58e4007,Other,N/A,101
1baf79ea-443d-453a-b7df-c3d520466e26.rna_seq.genomic.gdc_realn.bam,565750a1-50c8-4a87-87c6-ee6006517a6c,Poly-T Enrichment,,103
1baf79ea-443d-453a-b7df-c3d520466e26.rna_seq.genomic.gdc_realn.bam,cf001b0a-eee6-45a0-a867-ed4d64d16a6f,Other,N/A,103
4dbfcf44-81c5-4619-8318-8793d99fe4aa.rna_seq.genomic.gdc_realn.bam,84df4c59-7069-4e2a-90d2-0709abf52583,Poly-T Enrichment,,101
4dbfcf44-81c5-4619-8318-8793d99fe4aa.rna_seq.genomic.gdc_realn.bam,20ba1f40-f65f-4e66-b380-e967a745f119,Other,N/A,101
9fed57f8-34f6-4726-8e69-8e48194663ad.rna_seq.genomic.gdc_realn.bam,10f04c21-1aa4-40a0-80f1-680799e0ae0c,Poly-T Enrichment,,101
9fed57f8-34f6-4726-8e69-8e48194663ad.rna_seq.genomic.gdc_realn.bam,67037115-9a8b-4393-a085-8fbd9d983479,Other,N/A,101
211c2d4f-cc22-4617-a1f8-0bf9338db990.rna_seq.genomic.gdc_realn.bam,60369a47-abab-4368-a0d1-4aad62c33381,Poly-T Enrichment,,101
211c2d4f-cc22-4617-a1f8-0bf9338db990.rna_seq.genomic.gdc_realn.bam,26d9fde6-aed2-4fad-90ae-9a859cff3300,Other,N/A,101
15d11cb0-928f-4ef5-b3c3-ab9e8991753d.rna_seq.genomic.gdc_realn.bam,cd60dd96-2bf2-46c1-85d7-f984493aebab,Poly-T Enrichment,,101
15d11cb0-928f-4ef5-b3c3-ab9e8991753d.rna_seq.genomic.gdc_realn.bam,dc883f6d-ef24-48ee-8b53-a4c474c2a760,Other,N/A,101
c2fa8317-cb42-4adb-a597-ee5176510b9d.rna_seq.genomic.gdc_realn.bam,88ba8172-1f2c-4530-806b-6f99baba8711,Poly-T Enrichment,,100
c2fa8317-cb42-4adb-a597-ee5176510b9d.rna_seq.genomic.gdc_realn.bam,8cb4f915-0fc2-42e4-8628-2a092f147b36,Other,N/A,100
d7b22af2-b49b-4ea3-9a6b-76974ed8482d.rna_seq.genomic.gdc_realn.bam,4160845d-30d6-4f5b-ba9b-6ab7dd373fad,Poly-T Enrichment,,101
d7b22af2-b49b-4ea3-9a6b-76974ed8482d.rna_seq.genomic.gdc_realn.bam,4b4c1d63-4128-415a-b435-f361574c71f0,Other,N/A,101
15216993-c048-4234-8981-02ebef70c40d.rna_seq.genomic.gdc_realn.bam,2978a758-bccd-4ee0-ae3b-15db6a75cc42,Poly-T Enrichment,,103
15216993-c048-4234-8981-02ebef70c40d.rna_seq.genomic.gdc_realn.bam,ae902949-eba3-4441-a149-d981aaa95bf2,Other,N/A,103
86272ea4-c83a-4023-8331-3d7ba02e13cc.rna_seq.genomic.gdc_realn.bam,fc0bfe54-3ecf-4204-af23-e16e64040ff1,Other,N/A,101
86272ea4-c83a-4023-8331-3d7ba02e13cc.rna_seq.genomic.gdc_realn.bam,e3b14b02-22c6-4086-8cdc-2252294e4531,Poly-T Enrichment,,101
e4ab0d64-9d7d-4a3c-b904-227ea0487f57.rna_seq.genomic.gdc_realn.bam,0a2e28c3-6abe-4da5-89f9-e3efadf9c556,Poly-T Enrichment,,101
b6c628ea-959c-4439-9222-6af56666dd67.rna_seq.genomic.gdc_realn.bam,d4b4dbeb-aeec-4556-b9c9-05ba06f53253,Poly-T Enrichment,,101
b6c628ea-959c-4439-9222-6af56666dd67.rna_seq.genomic.gdc_realn.bam,a55f3722-c1c2-4fd6-bef1-6d4ea166216b,Other,N/A,101
0569acd2-7934-47e7-8d3f-201a74a19b54.rna_seq.genomic.gdc_realn.bam,1e5ae659-b3d2-4070-890a-4eee33c3dcbf,Other,N/A,101
0569acd2-7934-47e7-8d3f-201a74a19b54.rna_seq.genomic.gdc_realn.bam,2b9c9c11-5f2d-40a9-b38c-95bad06495f4,Poly-T Enrichment,,101
bf2017da-0eda-49f3-9f83-3f0f9b70bc5c.rna_seq.genomic.gdc_realn.bam,195d42fd-b41f-4013-8255-3db0d9d8266a,Other,N/A,103
bf2017da-0eda-49f3-9f83-3f0f9b70bc5c.rna_seq.genomic.gdc_realn.bam,5ddd8c81-39c3-4899-aca1-b81514e97a96,Poly-T Enrichment,,101
bf2017da-0eda-49f3-9f83-3f0f9b70bc5c.rna_seq.genomic.gdc_realn.bam,4309700f-f8f3-43b3-b42f-d899f56a4eb4,Other,N/A,101
8be0aef7-a390-4b9e-8c02-8828335e43b9.rna_seq.genomic.gdc_realn.bam,ccc6ee73-e9ae-403b-8050-d82d092c3676,Poly-T Enrichment,,101
b24a992b-e8ca-4c9d-9168-96a19c18bd1a.rna_seq.genomic.gdc_realn.bam,a9f06520-13bc-40b6-afb6-2b556155c7fb,Poly-T Enrichment,,101
f40a02e6-6b3b-4b14-863d-6f77ba8ba3f8.rna_seq.genomic.gdc_realn.bam,eb177ec0-b028-45e2-8c73-587241b71e6a,Poly-T Enrichment,,101
a914a231-2f8f-4e98-8f44-47ed50e20566.rna_seq.genomic.gdc_realn.bam,6e69f57e-7bb1-4bce-93c0-fd389a8d36c0,Poly-T Enrichment,,101
bcb1aa05-f2a9-4a58-9b61-64f81a4fae02.rna_seq.genomic.gdc_realn.bam,710ae5ea-fbd4-41e1-8e8c-f5f609bec818,Poly-T Enrichment,,101
e3cefc3b-3dc4-4ea3-8846-7f8ea1620a54.rna_seq.genomic.gdc_realn.bam,92527895-5543-4cd3-9c12-ce63efddd23a,Poly-T Enrichment,,101
49a5d10d-204d-413c-b569-581cd4b347b3.rna_seq.genomic.gdc_realn.bam,5739816a-1890-45fb-9280-a6fee77db0ff,Poly-T Enrichment,,101
a896658f-81db-4439-907b-8bf3e94bae33.rna_seq.genomic.gdc_realn.bam,e2a4efe8-0295-4174-9228-9dd8fc1dedf5,Poly-T Enrichment,,101
8c5c2367-619d-4240-9523-0f412b14e50c.rna_seq.genomic.gdc_realn.bam,de7a1252-a336-4a1f-ae05-296bff8cd271,Poly-T Enrichment,,101
d22682a0-9922-483e-9bae-97ae79431c31.rna_seq.genomic.gdc_realn.bam,90829630-719e-4612-9560-47d00dd8f5bd,Poly-T Enrichment,,101
ef263dc1-2c57-4f4c-b93f-499208f0da71.rna_seq.genomic.gdc_realn.bam,ddc911c2-b195-4f28-b17d-1c9f1458907f,Poly-T Enrichment,,101
7162ed97-8f56-41ee-849a-4ebcd8d0b775.rna_seq.genomic.gdc_realn.bam,2084c4f6-63bb-4785-9200-45d751308826,Other,N/A,101
