PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_AK9BV52G-BS_3PNWA7WT	78.98	25.7638888889
PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_YHXMYDBN-BS_3PNWA7WT	46.49	23.3511111111
PBTA-PNOC003-Lancet-Somatic-PT_NK8A49X5-BS_AHAXPFG3-BS_668350EZ	54.41	20.8533333333
PBTA-PNOC003-Lancet-Somatic-PT_KBFM551M-BS_M0B42FPR-BS_9H6Z0MEG	87.19	26.9091666667
PBTA-PNOC003-Lancet-Somatic-PT_9GKVQ9QS-BS_JRFVST47-BS_MVYA262V	77.48	22.6658333333
PBTA-PNOC003-Lancet-Somatic-PT_KTRJ8TFY-BS_HYKV2TH9-BS_SNRF1RKC	86.14	31.6436111111
PBTA-PNOC003-Lancet-Somatic-PT_KTRJ8TFY-BS_BQ81D2BP-BS_SNRF1RKC	50.24	23.6113888889
PBTA-PNOC003-Lancet-Somatic-PT_KBFM551M-BS_9P4NDTKJ-BS_9H6Z0MEG	76.37	23.1319444444
PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_X5VN0FW0-BS_3PNWA7WT	79.46	23.9133333333
PBTA-PNOC003-Lancet-Somatic-PT_MNSEJCDM-BS_CBMAWSAR-BS_29YQSB5E	60.74	28.9430555556
PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_H8NWA41N-BS_Q7R8BT07	61.97	27.7883333333
PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_1Q524P3B-BS_3PNWA7WT	102.63	24.0858333333
PBTA-PNOC003-Lancet-Somatic-PT_KBFM551M-BS_J8EK6RNF-BS_HJ7HYZ7N	74.75	23.5430555556
PBTA-PNOC003-Lancet-Somatic-PT_WGVEF96B-BS_4DQAQFQH-BS_36YFSGDX	94.53	19.3219444444
PBTA-PNOC003-Lancet-Somatic-PT_HGM20MW7-BS_FK3B5SDH-BS_Z370T42N	78.01	27.5138888889
PBTA-PNOC003-Lancet-Somatic-PT_V1HNAC2Q-BS_YZD4SSMA-BS_E5RKHG41	116.02	22.5263888889
PBTA-PNOC003-Lancet-Somatic-PT_VPEMAQBN-BS_VXDGXQKZ-BS_D48QXYW6	51.72	24.4391666667
PBTA-PNOC003-Lancet-Somatic-PT_QA9WJ679-BS_7PF3C1P7-BS_QPSQPDR8	89.47	28.9816666667
PBTA-PNOC003-Lancet-Somatic-PT_M23Q0DC3-BS_CGXTFM67-BS_6GS4XT7F	57.82	21.7741666667
PBTA-PNOC003-Lancet-Somatic-PT_V1HNAC2Q-BS_NNFDFAFM-BS_E5RKHG41	61.42	21.9047222222
PBTA-PNOC003-Lancet-Somatic-PT_1E3E6GMF-BS_7GKF6M85-BS_BKCPNFZ5	126.89	24.5041666667
PBTA-PNOC003-Lancet-Somatic-PT_MNSEJCDM-BS_J8EH1N7V-BS_29YQSB5E	48.78	27.3280555556
PBTA-PNOC003-Lancet-Somatic-PT_KBFM551M-BS_M5FM63EB-BS_9H6Z0MEG	111.52	23.4958333333
PBTA-PNOC003-Lancet-Somatic-PT_KTRJ8TFY-BS_AF5D41PD-BS_SNRF1RKC	77.87	25.0880555556
PBTA-PNOC003-Lancet-Somatic-PT_M9XXJ4GR-BS_R6CKWZW6-BS_9TSKXKGH	66.47	27.0505555556
PBTA-PNOC003-Lancet-Somatic-PT_KTRJ8TFY-BS_EE73VE7V-BS_SNRF1RKC	74.01	23.2736111111
PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_0ATJ22QA-BS_3PNWA7WT	65.85	23.7711111111
PBTA-PNOC003-Lancet-Somatic-PT_VPEMAQBN-BS_Q6GVRAWK-BS_D48QXYW6	50.37	25.4969444444
PBTA-PNOC003-Lancet-Somatic-PT_KZ56XHJT-BS_22VCR7DF-BS_3PNWA7WT	50.31	24.2458333333
PBTA-PNOC003-Lancet-Somatic-PT_KTRJ8TFY-BS_5968GBGT-BS_SNRF1RKC	31.21	14.8244444444
PBTA-PNOC003-Lancet-Somatic-PT_NK8A49X5-BS_6JBE0947-BS_STZ2C71Q	29.26	16.495
PBTA-PNOC003-Lancet-Somatic-PT_KTRJ8TFY-BS_HYKV2TH9-BS_SNRF1RKC	33.24	15.8211111111
PBTA-PNOC003-Lancet-Somatic-PT_WGVEF96B-BS_4DQAQFQH-BS_36YFSGDX	26.16	12.7586111111
